Number,Name,AreaName,Nom kV,Vpu,kV,Vangle,Load MW,LoadMvar,GenMW,GenMvar,ShuntMvar,ActG,ActB,AreaNumber,ZoneNumber,Substation Longitude,Substation Latitude
13669,MORRISVILLE 12 2,Pennsylvania Eastern,24,1.0495,25.188,-151.75,,,42.4,6.02,,0,0,10,1,-74.78189345,40.20077387
13670,MORRISVILLE 12 3,Pennsylvania Eastern,18,1.0495,18.891,-152.59,,,21.2,5.34,,0,0,10,1,-74.78189345,40.20036142
13671,MORRISVILLE 12 4,Pennsylvania Eastern,138,1.04264,143.884,-153.98,,,,,,0,0,10,1,-74.77838345,40.20058827
13672,MORRISVILLE 12 6,Pennsylvania Eastern,138,1.04287,143.916,-153.94,,,,,,0,0,10,1,-74.78108345,40.19955714
13673,CRUM LYNNE 1 1,Pennsylvania Eastern,138,1.03629,143.008,-151.4,,,,,,0,0,10,1,-75.31809038,39.8461919
13674,CRUM LYNNE 1 2,Pennsylvania Eastern,20,1.02032,20.406,-144.41,,,204.67,-22.72,,0,0,10,1,-75.31890038,39.84658576
13675,CRUM LYNNE 1 3,Pennsylvania Eastern,13.8,1.02117,14.092,-145.07,,,204.67,-22.72,,0,0,10,1,-75.31890038,39.84617117
13676,CRUM LYNNE 1 4,Pennsylvania Eastern,18,1.02715,18.489,-147.09,,,204.67,-22.72,,0,0,10,1,-75.31890038,39.84575657
13677,CRUM LYNNE 1 5,Pennsylvania Eastern,138,1.03607,142.977,-151.78,,,,,,0,0,10,1,-75.31539038,39.8457773
13678,CRUM LYNNE 1 7,Pennsylvania Eastern,138,1.03629,143.008,-151.4,,,,,,0,0,10,1,-75.31809038,39.8449481
13679,MOUNT HOLLY SPRINGS 3 1,Pennsylvania Eastern,500,1.04134,520.67,-146.6,,,,,-83.4,0,0,10,1,-77.19270118,40.11780824
13680,MOUNT HOLLY SPRINGS 3 2,Pennsylvania Eastern,345,1.0429,359.801,-149.4,,,,,,0,0,10,1,-77.18550118,40.11450456
13681,MOUNT HOLLY SPRINGS 3 3,Pennsylvania Eastern,138,1.04289,143.919,-151.5,,,,,,0,0,10,1,-77.19270118,40.11175138
13682,MOUNT HOLLY SPRINGS 3 4,Pennsylvania Eastern,24,1.0428,25.027,-149.35,,,1.67,-0.2,,0,0,10,1,-77.18334118,40.110595
13683,MOUNT HOLLY SPRINGS 3 5,Pennsylvania Eastern,24,1.0428,25.027,-149.35,,,1.67,-0.2,,0,0,10,1,-77.18334118,40.10949368
13684,MOUNT HOLLY SPRINGS 3 6,Pennsylvania Eastern,1,1.04292,1.043,-149.41,,,,,,0,0,10,1,-77.18550118,40.11009941
13685,MOUNT HOLLY SPRINGS 3 7,Pennsylvania Eastern,24,1.00265,24.064,-146,,,54,25.16,,0,0,10,1,-77.19486118,40.11830377
13686,MOUNT HOLLY SPRINGS 3 8,Pennsylvania Eastern,18,1.031,18.558,-150.77,,,1.67,0.08,,0,0,10,1,-77.19486118,40.110595
13687,MOUNT HOLLY SPRINGS 3 9,Pennsylvania Eastern,345,1.04256,359.684,-149.5,,,,,,0,0,10,1,-77.19270118,40.11505518
13688,MOUNT HOLLY SPRINGS 3 11,Pennsylvania Eastern,500,1.04298,521.492,-146.46,,,,,,0,0,10,1,-77.18550118,40.11835883
13689,SHENANDOAH 3 1,Pennsylvania Eastern,138,1.04296,143.928,-147.32,,,,,,0,0,10,1,-76.14818741,40.82866838
13690,SHENANDOAH 3 2,Pennsylvania Eastern,13.8,1.02929,14.204,-142.26,,,102,-14.69,,0,0,10,1,-76.15034741,40.8291587
13691,SHENANDOAH 3 3,Pennsylvania Eastern,18,1.04296,18.773,-147.32,,,0,0,,0,0,10,1,-76.15034741,40.8280691
13692,SHENANDOAH 3 4,Pennsylvania Eastern,138,1.04294,143.926,-147.39,,,,,,0,0,10,1,-76.14098741,40.82812358
13693,SHENANDOAH 3 6,Pennsylvania Eastern,138,1.04296,143.928,-147.32,,,,,,0,0,10,1,-76.14818741,40.82594432
13694,EASTON 11 1,Pennsylvania Eastern,138,1.03618,142.993,-150.06,,,,,,0,0,10,1,-75.22359447,40.74465862
13695,EASTON 11 2,Pennsylvania Eastern,13.2,1.03661,13.683,-149.16,,,4.9,0,,0,0,10,1,-75.22575447,40.74569505
13696,EASTON 11 3,Pennsylvania Eastern,18,1.03638,18.655,-149.74,,,0.93,0,,0,0,10,1,-75.22575447,40.74460407
13697,EASTON 11 4,Pennsylvania Eastern,13.8,1.03618,14.299,-150.06,,,0,0,,0,0,10,1,-75.22575447,40.74351308
13698,EASTON 11 5,Pennsylvania Eastern,138,1.03617,142.991,-150.07,,,,,,0,0,10,1,-75.21639447,40.74520411
13699,EASTON 11 7,Pennsylvania Eastern,138,1.03618,142.993,-150.06,,,,,,0,0,10,1,-75.21639447,40.74247662
13700,MIDDLETOWN 28 1,Pennsylvania Eastern,500,1.039,519.5,-146.54,,,,,-519.24,0,0,10,1,-76.72865564,40.08984778
13701,MIDDLETOWN 28 2,Pennsylvania Eastern,345,1.04055,358.989,-149.73,,,,,,0,0,10,1,-76.72145564,40.0903986
13702,MIDDLETOWN 28 3,Pennsylvania Eastern,138,1.03875,143.347,-151.81,,,,,,0,0,10,1,-76.72865564,40.08268667
13703,MIDDLETOWN 28 4,Pennsylvania Eastern,20,1.04789,20.958,-154.08,,,,,,0,0,10,1,-76.71929564,40.08208069
13704,MIDDLETOWN 28 5,Pennsylvania Eastern,1,1.04789,1.048,-154.08,,,,,,0,0,10,1,-76.72145564,40.08158489
13705,MIDDLETOWN 28 6,Pennsylvania Eastern,13.8,1.04857,14.47,-143.17,,,980.8,166.09,,0,0,10,1,-76.73081564,40.08758935
13706,MIDDLETOWN 28 7,Pennsylvania Eastern,345,1.04024,358.882,-149.89,,,,,,0,0,10,1,-76.72145564,40.08544103
13707,MIDDLETOWN 28 9,Pennsylvania Eastern,345,1.04055,358.989,-149.73,,,,,,0,0,10,1,-76.72865564,40.08544103
13708,HUNLOCK CREEK 3 1,Pennsylvania Eastern,500,1.04147,520.735,-143.39,,,,,,0,0,10,1,-76.07318252,41.21088732
13709,HUNLOCK CREEK 3 2,Pennsylvania Eastern,345,1.042,359.49,-144.84,,,145.9,29.28,,0,0,10,1,-76.07318252,41.2060123
13710,HUNLOCK CREEK 3 3,Pennsylvania Eastern,138,1.04238,143.848,-146.47,,,,,,0,0,10,1,-76.06598252,41.2060123
13711,HUNLOCK CREEK 3 4,Pennsylvania Eastern,13.8,1.04245,14.386,-145.48,,,,,,0,0,10,1,-76.06382252,41.20324963
13712,HUNLOCK CREEK 3 5,Pennsylvania Eastern,1,1.04245,1.042,-145.48,,,,,,0,0,10,1,-76.06598252,41.20276209
13713,HUNLOCK CREEK 3 6,Pennsylvania Eastern,500,1.04197,520.986,-143.26,,,,,,0,0,10,1,-76.06598252,41.21142897
13714,HUNLOCK CREEK 3 8,Pennsylvania Eastern,500,1.04147,520.735,-143.39,,,,,,0,0,10,1,-76.06598252,41.20872069
13715,ROARING BRANCH 2 1,Pennsylvania Eastern,500,1.03197,515.986,-142.72,,,,,-406.8,0,0,10,1,-77.01905446,41.54690218
13716,ROARING BRANCH 2 2,Pennsylvania Eastern,345,1.04218,359.552,-143.61,,,,,,0,0,10,1,-77.01185446,41.54313007
13717,ROARING BRANCH 2 3,Pennsylvania Eastern,138,1.04453,144.145,-144.32,,,,,,0,0,10,1,-77.01905446,41.54097448
13718,ROARING BRANCH 2 4,Pennsylvania Eastern,13.8,1.02244,14.11,-141.91,,,69,14.7,,0,0,10,1,-77.02121446,41.547926
13719,ROARING BRANCH 2 5,Pennsylvania Eastern,500,1.03574,517.872,-142.73,,,,,,0,0,10,1,-77.01185446,41.54690218
13720,ROARING BRANCH 2 7,Pennsylvania Eastern,500,1.03197,515.986,-142.72,,,,,,0,0,10,1,-77.01905446,41.54366895
13721,NESQUEHONING 2 1,Pennsylvania Eastern,138,1.04373,144.035,-148.01,,,,,,0,0,10,1,-75.85051613,40.8707429
13722,NESQUEHONING 2 2,Pennsylvania Eastern,13.8,1.04442,14.413,-146.61,,,13.1,0,,0,0,10,1,-75.85267613,40.87123291
13723,NESQUEHONING 2 3,Pennsylvania Eastern,18,1.04399,18.792,-147.31,,,1.8,0,,0,0,10,1,-75.85267613,40.870144
13724,NESQUEHONING 2 4,Pennsylvania Eastern,138,1.0437,144.03,-148.02,,,,,,0,0,10,1,-75.84331613,40.8707429
13725,NESQUEHONING 2 6,Pennsylvania Eastern,138,1.04373,144.035,-148.01,,,,,,0,0,10,1,-75.85051613,40.86802057
13726,PHILADELPHIA 119 1,Pennsylvania Eastern,138,1.02578,141.558,-156.65,,,131.6,61.33,,0,0,10,1,-75.05157235,39.98774305
13727,PHILADELPHIA 119 2,Pennsylvania Eastern,138,1.02481,141.423,-156.73,,,,,,0,0,10,1,-75.04995235,39.98774305
13728,DELTA 3 1,Pennsylvania Eastern,500,1.04011,520.057,-146.2,,,,,-539.5,0,0,10,1,-76.27213057,39.73863862
13729,DELTA 3 2,Pennsylvania Eastern,345,1.04478,360.449,-149.06,,,,,,0,0,10,1,-76.26493057,39.73974592
13730,DELTA 3 3,Pennsylvania Eastern,138,1.04349,144.001,-150.11,,,,,,0,0,10,1,-76.27213057,39.73144069
13731,DELTA 3 4,Pennsylvania Eastern,18,1.045,18.81,-145.1,,,140,33.67,,0,0,10,1,-76.27429057,39.7391369
13732,DELTA 3 5,Pennsylvania Eastern,13.8,1.0405,14.359,-144.54,,,140,31.72,,0,0,10,1,-76.27429057,39.73802959
13733,DELTA 3 6,Pennsylvania Eastern,13.8,1.045,14.421,-145.45,,,140,49.48,,0,0,10,1,-76.27429057,39.73692225
13734,DELTA 3 7,Pennsylvania Eastern,22,1.045,22.99,-144.94,,,140,29.57,,0,0,10,1,-76.27429057,39.7358149
13735,DELTA 3 8,Pennsylvania Eastern,345,1.0445,360.352,-149.38,,,,,,0,0,10,1,-76.26493057,39.73476291
13736,DELTA 3 10,Pennsylvania Eastern,345,1.04478,360.449,-149.06,,,,,,0,0,10,1,-76.27213057,39.73365552
13737,BERWICK 8 1,Pennsylvania Eastern,500,1.041,520.5,-142.53,,,,,,0,0,10,1,-76.18664493,41.10251295
13738,BERWICK 8 2,Pennsylvania Eastern,345,1.04176,359.407,-144.47,,,,,,0,0,10,1,-76.17944493,41.10414056
13739,BERWICK 8 3,Pennsylvania Eastern,138,1.03928,143.42,-146.42,,,,,,0,0,10,1,-76.18664493,41.09708727
13740,BERWICK 8 4,Pennsylvania Eastern,13.8,1.02667,14.168,-135.92,,,1298,-99.63,,0,0,10,1,-76.18880493,41.10028847
13741,BERWICK 8 5,Pennsylvania Eastern,20,1.02854,20.571,-136.52,,,1298,-99.63,,0,0,10,1,-76.18880493,41.09920333
13742,BERWICK 8 6,Pennsylvania Eastern,345,1.04174,359.402,-144.54,,,,,,0,0,10,1,-76.17944493,41.10034272
13743,BERWICK 8 8,Pennsylvania Eastern,345,1.04176,359.407,-144.47,,,,,,0,0,10,1,-76.17944493,41.09817244
13744,MORGANTOWN 2 1,Pennsylvania Eastern,138,1.03609,142.98,-152.44,,,12.35,0,,0,0,10,1,-75.85714795,40.11280974
13745,MORGANTOWN 2 2,Pennsylvania Eastern,138,1.03605,142.976,-152.45,,,,,-6.83,0,0,10,1,-75.85282795,40.11556288
13746,BANGOR 9 1,Pennsylvania Eastern,500,1.044,522,-145.02,,,,,32.03,0,0,10,1,-75.09391675,40.78029914
13747,BANGOR 9 2,Pennsylvania Eastern,345,1.04403,360.192,-147.44,,,,,,0,0,10,1,-75.09391675,40.77593741
13748,BANGOR 9 3,Pennsylvania Eastern,138,1.04254,143.871,-149.28,,,,,,0,0,10,1,-75.09391675,40.7715754
13749,BANGOR 9 4,Pennsylvania Eastern,18,1.02486,18.447,-143.4,,,217.2,48.08,,0,0,10,1,-75.09607675,40.78133501
13750,BANGOR 9 5,Pennsylvania Eastern,13.8,1.02668,14.168,-142.9,,,217.2,48.08,,0,0,10,1,-75.09607675,40.78024462
13751,BANGOR 9 6,Pennsylvania Eastern,20,1.0265,20.53,-143.31,,,217.2,55.78,,0,0,10,1,-75.09607675,40.77915421
13752,BANGOR 9 7,Pennsylvania Eastern,345,1.04235,359.612,-147.55,,,,,,0,0,10,1,-75.08671675,40.77593741
13753,BANGOR 9 9,Pennsylvania Eastern,500,1.04312,521.561,-145.2,,,,,,0,0,10,1,-75.08671675,40.78029914
13754,HAZLETON 7 1,Pennsylvania Eastern,500,1.03917,519.584,-143.67,,,,,-153.6,0,0,10,1,-76.01453001,40.94232292
13755,HAZLETON 7 2,Pennsylvania Eastern,345,1.04278,359.759,-145.45,,,85.75,-9.52,,0,0,10,1,-76.01453001,40.93688403
13756,HAZLETON 7 3,Pennsylvania Eastern,138,1.04449,144.139,-147.04,,,,,,0,0,10,1,-76.00733001,40.93797184
13757,HAZLETON 7 4,Pennsylvania Eastern,13.8,1.0504,14.495,-148.19,,,,,,0,0,10,1,-76.00517001,40.93519788
13758,HAZLETON 7 5,Pennsylvania Eastern,1,1.0504,1.05,-148.19,,,,,,0,0,10,1,-76.00733001,40.93470835
13759,HAZLETON 7 6,Pennsylvania Eastern,18,1.04,18.72,-143.4,,,42.88,5.89,,0,0,10,1,-76.01669001,40.93302215
13760,HAZLETON 7 7,Pennsylvania Eastern,18,1.04,18.72,-143.4,,,42.88,5.89,,0,0,10,1,-76.01669001,40.93193425
13761,HAZLETON 7 8,Pennsylvania Eastern,1,1.03916,1.039,-143.71,,,,,,0,0,10,1,-76.01453001,40.9325326
13762,HAZLETON 7 9,Pennsylvania Eastern,500,1.04116,520.58,-143.47,,,,,,0,0,10,1,-76.00733001,40.94341064
13763,HAZLETON 7 11,Pennsylvania Eastern,500,1.03917,519.584,-143.67,,,,,,0,0,10,1,-76.00733001,40.94069129
13764,KINGSTON 14 1,Pennsylvania Eastern,500,1.04208,521.039,-143.91,,,,,,0,0,10,1,-75.82022722,41.28086365
13765,KINGSTON 14 2,Pennsylvania Eastern,345,1.03917,358.513,-145.53,,,,,,0,0,10,1,-75.81302722,41.27599385
13766,KINGSTON 14 3,Pennsylvania Eastern,138,1.03465,142.782,-147.22,,,,,,0,0,10,1,-75.82022722,41.2743705
13767,KINGSTON 14 4,Pennsylvania Eastern,13.8,1.03917,14.341,-145.53,,,0,0,,0,0,10,1,-75.81086722,41.27431638
13768,KINGSTON 14 5,Pennsylvania Eastern,500,1.04271,521.353,-143.82,,,,,,0,0,10,1,-75.81302722,41.28086365
13769,KINGSTON 14 7,Pennsylvania Eastern,500,1.04208,521.039,-143.91,,,,,,0,0,10,1,-75.82022722,41.27761715
13770,WASHINGTONVILLE 3 1,Pennsylvania Eastern,500,1.04541,522.704,-143.84,,,,,74.87,0,0,10,1,-76.65711135,41.08008558
13771,WASHINGTONVILLE 3 2,Pennsylvania Eastern,345,1.04623,360.948,-145.71,,,,,,0,0,10,1,-76.64991135,41.0806283
13772,WASHINGTONVILLE 3 3,Pennsylvania Eastern,138,1.04684,144.464,-146.82,,,,,,0,0,10,1,-76.65711135,41.0730297
13773,WASHINGTONVILLE 3 4,Pennsylvania Eastern,13.8,1.04541,14.427,-143.84,,,0,0,,0,0,10,1,-76.65927135,41.0800313
13774,WASHINGTONVILLE 3 5,Pennsylvania Eastern,18,1.04541,18.817,-143.84,,,0,0,,0,0,10,1,-76.65927135,41.07894583
13775,WASHINGTONVILLE 3 6,Pennsylvania Eastern,13.8,1.04541,14.427,-143.84,,,0,0,,0,0,10,1,-76.65927135,41.07786034
13776,WASHINGTONVILLE 3 7,Pennsylvania Eastern,345,1.04617,360.927,-145.75,,,,,,0,0,10,1,-76.64991135,41.07520082
13777,WASHINGTONVILLE 3 9,Pennsylvania Eastern,345,1.04623,360.948,-145.71,,,,,,0,0,10,1,-76.65711135,41.07574359
13778,GETTYSBURG 5 1,Pennsylvania Eastern,138,1.03321,142.582,-156.18,,,19.6,9.13,,0,0,10,1,-76.98656092,39.90422409
13779,GETTYSBURG 5 2,Pennsylvania Eastern,138,1.03306,142.562,-156.19,,,,,,0,0,10,1,-76.98224092,39.90367176
13780,GETTYSBURG 6 1,Pennsylvania Eastern,500,1.043,521.5,-148.01,,,,,,0,0,10,1,-77.17560798,39.84236311
13781,GETTYSBURG 6 2,Pennsylvania Eastern,345,1.04061,359.009,-150.92,,,,,,0,0,10,1,-77.16840798,39.83849324
13782,GETTYSBURG 6 3,Pennsylvania Eastern,138,1.03891,143.369,-154.72,,,,,,0,0,10,1,-77.17560798,39.83794038
13783,GETTYSBURG 6 4,Pennsylvania Eastern,13.8,1.05841,14.606,-146.72,,,224.5,19.61,,0,0,10,1,-77.17776798,39.84396628
13784,GETTYSBURG 6 5,Pennsylvania Eastern,13.8,1.0585,14.607,-146.44,,,224.5,16.9,,0,0,10,1,-77.17776798,39.84286065
13785,GETTYSBURG 6 6,Pennsylvania Eastern,13.8,1.05787,14.599,-147.08,,,224.5,19.61,,0,0,10,1,-77.17776798,39.841755
13786,GETTYSBURG 6 7,Pennsylvania Eastern,13.8,1.05791,14.599,-147.02,,,224.5,19.61,,0,0,10,1,-77.17776798,39.84064933
13787,GETTYSBURG 6 8,Pennsylvania Eastern,500,1.04288,521.441,-148.02,,,,,,0,0,10,1,-77.16840798,39.84402156
13788,GETTYSBURG 6 10,Pennsylvania Eastern,500,1.043,521.5,-148.01,,,,,,0,0,10,1,-77.16840798,39.84181028
13789,BLOSSBURG 1,Pennsylvania Eastern,345,1.04438,360.31,-143.68,,,24,-2.66,,0,0,10,1,-77.09647582,41.70131271
13790,BLOSSBURG 2,Pennsylvania Eastern,138,1.04449,144.139,-143.91,,,,,,0,0,10,1,-77.09215582,41.69808722
13791,BLOSSBURG 3,Pennsylvania Eastern,345,1.04438,360.312,-143.69,,,,,,0,0,10,1,-77.09215582,41.70131271
13792,BLOSSBURG 5,Pennsylvania Eastern,345,1.04438,360.31,-143.68,,,,,,0,0,10,1,-77.09647582,41.69808722
13793,HOLTWOOD 1,Pennsylvania Eastern,500,1.04184,520.92,-146.41,,,41.22,-2.02,,0,0,10,1,-76.318262,39.86208359
13794,HOLTWOOD 2,Pennsylvania Eastern,345,1.03999,358.797,-148.76,,,206.08,-10.1,,0,0,10,1,-76.313942,39.86097825
13795,HOLTWOOD 3,Pennsylvania Eastern,138,1.03985,143.499,-151.66,,,,,,0,0,10,1,-76.313942,39.85600401
13796,HOLTWOOD 4,Pennsylvania Eastern,345,1.03942,358.601,-148.95,,,,,,0,0,10,1,-76.318262,39.85876752
13797,HOLTWOOD 6,Pennsylvania Eastern,345,1.03999,358.797,-148.76,,,,,,0,0,10,1,-76.318262,39.85655672
13798,CHESTER 12 1,Pennsylvania Eastern,138,1.04008,143.531,-151.27,,,,,,0,0,10,1,-75.38791199,39.77947591
13799,CHESTER 12 2,Pennsylvania Eastern,24,1.04,24.96,-149.9,,,18.6,-0.42,,0,0,10,1,-75.38872199,39.77800265
13800,CHESTER 12 3,Pennsylvania Eastern,24,1.04,24.96,-149.9,,,18.6,-0.42,,0,0,10,1,-75.38872199,39.77758764
13801,CHESTER 12 4,Pennsylvania Eastern,1,1.04003,1.04,-151.08,,,,,,0,0,10,1,-75.38791199,39.7778159
13802,CHESTER 12 5,Pennsylvania Eastern,18,1.04008,18.721,-151.27,,,,,,0,0,10,1,-75.38440199,39.77800265
13803,CHESTER 12 6,Pennsylvania Eastern,18,1.04008,18.721,-151.27,,,,,,0,0,10,1,-75.38440199,39.77758764
13804,CHESTER 12 7,Pennsylvania Eastern,1,1.04008,1.04,-151.27,,,,,,0,0,10,1,-75.38521199,39.7778159
13805,CHESTER 12 8,Pennsylvania Eastern,13.8,1.00848,13.917,-149.13,,,18.6,8.67,,0,0,10,1,-75.38872199,39.78007765
13806,CHESTER 12 9,Pennsylvania Eastern,138,1.0399,143.507,-151.3,,,,,,0,0,10,1,-75.38521199,39.7798909
13807,CHESTER 12 11,Pennsylvania Eastern,138,1.04008,143.531,-151.27,,,,,,0,0,10,1,-75.38521199,39.77885341
13808,PHILADELPHIA 120 1,Pennsylvania Eastern,138,1.027,141.726,-155.17,,,39.8,18.55,,0,0,10,1,-75.17677535,39.9388205
13809,PHILADELPHIA 120 2,Pennsylvania Eastern,138,1.02671,141.687,-155.19,,,,,,0,0,10,1,-75.17515535,39.93840646
13810,ALLENTOWN 18 1,Pennsylvania Eastern,138,1.02918,142.027,-151.08,,,,,,0,0,10,1,-75.47516366,40.60309085
13811,ALLENTOWN 18 2,Pennsylvania Eastern,18,1.02918,18.525,-151.08,,,0,0,,0,0,10,1,-75.47732366,40.60358283
13812,ALLENTOWN 18 3,Pennsylvania Eastern,20,1.02918,20.584,-151.08,,,0,0,,0,0,10,1,-75.47732366,40.60248953
13813,ALLENTOWN 18 4,Pennsylvania Eastern,138,1.02918,142.027,-151.08,,,,,,0,0,10,1,-75.46796366,40.60254419
13814,ALLENTOWN 18 6,Pennsylvania Eastern,138,1.02918,142.027,-151.08,,,,,,0,0,10,1,-75.47516366,40.60035754
13815,HARRISBURG 20 1,Pennsylvania Eastern,500,1.03375,516.876,-147.26,,,0,0,,0,0,10,1,-76.85724257,40.24791347
13816,HARRISBURG 20 2,Pennsylvania Eastern,345,1.04414,360.227,-149.82,,,0,0,,0,0,10,1,-76.85004257,40.24571526
13817,HARRISBURG 20 3,Pennsylvania Eastern,138,1.04318,143.959,-152.32,,,,,,0,0,10,1,-76.85004257,40.24131862
13818,HARRISBURG 20 4,Pennsylvania Eastern,13.8,1.03512,14.285,-147.11,,,16,7.46,,0,0,10,1,-76.85940257,40.24126366
13819,HARRISBURG 20 5,Pennsylvania Eastern,13.8,1.03512,14.285,-147.11,,,16,7.46,,0,0,10,1,-76.85940257,40.24016445
13820,HARRISBURG 20 6,Pennsylvania Eastern,1,1.03354,1.034,-147.29,,,,,,0,0,10,1,-76.85724257,40.24076902
13821,HARRISBURG 20 7,Pennsylvania Eastern,500,1.03569,517.844,-147.08,,,,,,0,0,10,1,-76.85004257,40.24901255
13822,HARRISBURG 20 9,Pennsylvania Eastern,345,1.04369,360.072,-149.92,,,,,,0,0,10,1,-76.85724257,40.24406655
13823,MARION HEIGHTS 1,Pennsylvania Eastern,500,1.04467,522.336,-144.16,,,,,49.06,0,0,10,1,-76.44343943,40.8219443
13824,MARION HEIGHTS 2,Pennsylvania Eastern,345,1.04454,360.368,-146.21,,,47.3,-5.77,,0,0,10,1,-76.43911943,40.82139944
13825,MARION HEIGHTS 3,Pennsylvania Eastern,138,1.04548,144.276,-147.18,,,,,,0,0,10,1,-76.44343943,40.81595061
13826,MARION HEIGHTS 4,Pennsylvania Eastern,345,1.04414,360.23,-146.32,,,,,,0,0,10,1,-76.44343943,40.81867508
13827,MARION HEIGHTS 6,Pennsylvania Eastern,345,1.04454,360.368,-146.21,,,,,,0,0,10,1,-76.43911943,40.8175853
13828,NORTHAMPTON 8 1,Pennsylvania Eastern,500,1.04243,521.217,-146.86,,,,,,0,0,10,1,-75.48570392,40.67926615
13829,NORTHAMPTON 8 2,Pennsylvania Eastern,345,1.03749,357.934,-148.06,,,,,,0,0,10,1,-75.48570392,40.67544385
13830,NORTHAMPTON 8 3,Pennsylvania Eastern,138,1.02867,141.957,-150.24,,,,,,0,0,10,1,-75.47850392,40.67489779
13831,NORTHAMPTON 8 4,Pennsylvania Eastern,13.8,1.0529,14.53,-145.64,,,134.1,62.49,,0,0,10,1,-75.48786392,40.68030359
13832,NORTHAMPTON 8 5,Pennsylvania Eastern,500,1.04312,521.562,-146.74,,,,,,0,0,10,1,-75.47850392,40.67981217
13833,NORTHAMPTON 8 7,Pennsylvania Eastern,500,1.04243,521.217,-146.86,,,,,,0,0,10,1,-75.47850392,40.677082
13834,BUSHKILL 3 1,Pennsylvania Eastern,138,1.04341,143.99,-148.76,,,,,,0,0,10,1,-75.06743803,41.07798986
13835,BUSHKILL 3 2,Pennsylvania Eastern,13.8,1.04656,14.442,-147.01,,,20,-2.44,,0,0,10,1,-75.06959803,41.07793558
13836,BUSHKILL 3 3,Pennsylvania Eastern,138,1.0434,143.989,-148.77,,,,,,0,0,10,1,-75.06023803,41.07744711
13837,POTTSTOWN 9 1,Pennsylvania Eastern,500,1.039,519.5,-145.64,,,,,-306.25,0,0,10,1,-75.56810541,40.22899171
13838,POTTSTOWN 9 2,Pennsylvania Eastern,345,1.04041,358.943,-148.93,,,,,,0,0,10,1,-75.56540541,40.22754874
13839,POTTSTOWN 9 3,Pennsylvania Eastern,138,1.03809,143.257,-151.72,,,,,,0,0,10,1,-75.56540541,40.22569345
13840,POTTSTOWN 9 4,Pennsylvania Eastern,22,1.04785,23.053,-140.26,,,1138.5,136.17,,0,0,10,1,-75.56891541,40.22958951
13841,POTTSTOWN 9 5,Pennsylvania Eastern,13.8,1.04801,14.463,-138.89,,,1138.5,136.17,,0,0,10,1,-75.56891541,40.22917724
13842,POTTSTOWN 9 6,Pennsylvania Eastern,345,1.03898,358.446,-149.67,,,,,,0,0,10,1,-75.56810541,40.22672417
13843,POTTSTOWN 9 8,Pennsylvania Eastern,500,1.03962,519.812,-146.2,,,,,,0,0,10,1,-75.56540541,40.22940399
13844,DELTA 4 1,Pennsylvania Eastern,500,1.042,521,-145.68,,,,,-711.78,0,0,10,1,-76.23916564,39.76175958
13845,DELTA 4 2,Pennsylvania Eastern,345,1.04453,360.361,-149.51,,,,,,0,0,10,1,-76.23916564,39.75345701
13846,DELTA 4 3,Pennsylvania Eastern,138,1.04359,144.015,-150.87,,,,,,0,0,10,1,-76.23196564,39.75622464
13847,DELTA 4 4,Pennsylvania Eastern,13.8,1.01966,14.071,-139.83,,,1310.9,477.99,,0,0,10,1,-76.24132564,39.76391808
13848,DELTA 4 5,Pennsylvania Eastern,13.8,1.01807,14.049,-143.5,,,1310.9,477.99,,0,0,10,1,-76.24132564,39.76281116
13849,DELTA 4 6,Pennsylvania Eastern,500,1.04162,520.81,-146.13,,,,,,0,0,10,1,-76.23196564,39.76231305
13850,DELTA 4 8,Pennsylvania Eastern,500,1.042,521,-145.68,,,,,,0,0,10,1,-76.23196564,39.75843867
13851,PHILADELPHIA 121 1,Pennsylvania Eastern,138,1.02605,141.595,-155.34,,,0,0,,0,0,10,1,-75.15196595,39.9349138
13852,PHILADELPHIA 121 2,Pennsylvania Eastern,138,1.02605,141.595,-155.34,,,,,,0,0,10,1,-75.15034595,39.93512083
13853,PORTLAND 12 1,Pennsylvania Eastern,500,1.04,520,-145.1,,,,,-550.76,0,0,10,1,-75.08428809,40.89782105
13854,PORTLAND 12 2,Pennsylvania Eastern,345,1.04156,359.34,-147.31,,,,,,0,0,10,1,-75.07708809,40.89836528
13855,PORTLAND 12 3,Pennsylvania Eastern,138,1.04275,143.899,-149.37,,,,,,0,0,10,1,-75.08428809,40.89074565
13856,PORTLAND 12 4,Pennsylvania Eastern,24,1.00868,24.208,-142.84,,,213.5,99.29,,0,0,10,1,-75.08644809,40.89667815
13857,PORTLAND 12 5,Pennsylvania Eastern,13.8,1.00985,13.936,-143.45,,,213.5,99.29,,0,0,10,1,-75.08644809,40.89558965
13858,PORTLAND 12 6,Pennsylvania Eastern,345,1.0416,359.351,-147.4,,,,,,0,0,10,1,-75.07708809,40.89401131
13859,PORTLAND 12 8,Pennsylvania Eastern,345,1.04156,359.34,-147.31,,,,,,0,0,10,1,-75.08428809,40.89346704
13860,WILLIAMSPORT 8 1,Pennsylvania Eastern,500,1.02893,514.467,-143.42,,,,,-474.2,0,0,10,1,-77.01694231,41.26455644
13861,WILLIAMSPORT 8 2,Pennsylvania Eastern,345,1.04173,359.397,-144.95,,,,,,0,0,10,1,-77.00974231,41.25968543
